Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,RebateAtchison,RebateAtchisonCode,PeerGroup,OptimiserCategory,Type,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,Unnamed:30,Citicode,LastPrice,MarketCap,Exchange,MktVolume,ShortSell%,Date,BasicEPS,TotalRevenues,DividendperShare-Net,TotalAssets,TotalLiabilities,GrowthofNetIncome(%),GrowthofNetSales(%),GrowthofFreeCashFlow(%),ReturnonTotalEquity(%),PayoutRatio,TotalDebt/TotalAssets,NetProfitMargin(%),InterestCover(EBIT),Unnamed:51,Unnamed:52,YieldtoMaturity,IRDuration,CreditDuration,AvCreditRating,AAA_ModDur,AA_ModDur,A_ModDur,BBB_ModDur,BB_ModDur,B_ModDur,CCC_ModDur,NotRated_ModDur,CashEq_ModDur,Gov_ModDur,Corporates_ModDur,Securitised_ModDur,Other_ModDur,CashEq_ModDur.1,AAA_CredSprDur,AA_CredSprDur,A_CredSprDur,BBB_CredSprDur,BB_CredSprDur,B_CredSprDur,CCC_CredSprDur,NotRated_CredSprDur,CashEq_CredSprDur,Gov_CredSprDur,Corporates_CredSprDur,Securitised_CredSprDur,Other_CredSprDur,CashEq_CredSprDur.1,Unnamed:85,FE_Objective,FE_PerformanceFee,FE_PrimaryManager,FE_PrimaryManagerStartDate,FE_PrimaryManagerBiography,FE_Benchmark,FE_CrownRating,FE_FundSize,FE_HistoryStart,FE_PortfolioTurnoverRatio,FE_AverageMaturityDate,FE_LonsecRating,FE_MstarAnalystRating,FE_AnnualCharge,PE_Ratio,EarningsYield,PriceBook
UNI-AU,nan,Universal Store Holdings Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary - 25,ASX,AUD,Australia,,Consumer Discretionary Distribution & Retail - 2550,Consumer Discretionary Distribution & Retail - 2550,Specialty Retail - 255040,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,UNI.ASX,457.0,350614101.7,ASX,185098.0,0.00143377,,0.355265,275394000.0,0.245,287703000.0,136367000.0,6.8338,12.2453,-2.5902,18.1673,0.635825,0.26764,9.6389,9.020067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.863637003363687,0.07773851203501093,0.00030197705767299256
UOS-AU,nan,United Overseas Australia Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Real Estate Management & Development - 6020,Real Estate Management & Development - 6020,Real Estate Management & Development - 602010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,UOS.ASX,55.5,294110284.2,ASX,9433.0,0.0,,0.05,138909000.0,0.0,2990389000.0,483591000.0,18.5069,-8.1684,-12.2723,4.7079,0.373838,0.080513,57.0272,11.474666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,0.09009009009009009,2.213979746273932e-06
URF-AU,nan,US Masters Residential Property Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Equity Real Estate Investment Trusts (REITs) - 6010,Equity Real Estate Investment Trusts (REITs) - 6010,Residential REITs - 601060,ListedREIT,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,URF.ASX,27.5,199160486.8,ASX,360399.0,0.0,,-0.03,44574528.0,0.0,936560258.0,515318032.0,-374.4741,-1.3395,146.8662,-4.3451,-0.420967,0.490195,-42.5497,0.633201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.166666666666668,-0.10909090909090907,6.528310388332247e-06
URW-AU,nan,Unibail-Rodamco-Westfield,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Equity Real Estate Investment Trusts (REITs) - 6010,Equity Real Estate Investment Trusts (REITs) - 6010,Retail REITs - 601070,ListedREIT,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,URW.ASX,565.0,788188170.0,ASX,166033.0,0.003493416,,-19.009265,4767625446.0,0.0,86878550071.0,53203729335.0,-1014.1975,4.0693,-0.3663,-8.1375,-0.036032,0.535506,-55.4077,1.538608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2972234854950994,-2.0,1.6778114557147082e-06
VCX-AU,nan,Vicinity Centres,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Equity Real Estate Investment Trusts (REITs) - 6010,Equity Real Estate Investment Trusts (REITs) - 6010,Retail REITs - 601070,ListedREIT,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,VCX.ASX,196.5,7506701475.0,ASX,11446517.0,0.051744827,,0.07001,1244500000.0,0.121,15430200000.0,4850400000.0,-57.0079,5.1263,0.4575,2.9808,1.714465,0.286775,25.6086,3.414679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.067418940151406,0.035628498727735367,1.8573129926841717e-06
VEA-AU,nan,Viva Energy Group Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Energy - 10,ASX,AUD,Australia,,Energy - 1010,Energy - 1010,"Oil, Gas & Consumable Fuels - 101020",,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,VEA.ASX,371.0,3966962454.0,ASX,5497413.0,0.030610499,,0.002466,26741100000.0,0.156,9082300000.0,7071700000.0,-99.2611,1.1671,-30.3216,0.1738,88.552631,0.329795,0.0142,0.863617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,0.0006646900269541778,1.8452203322391325e-05
VIT-AU,nan,Vitura Health Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care - 35,ASX,AUD,Australia,,"Pharmaceuticals, Biotech & Life Sciences - 3520","Pharmaceuticals, Biotech & Life Sciences - 3520",Pharmaceuticals - 352020,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,VIT.ASX,13.5,77742961.38,ASX,845993.0,0.000865467,,0.016776,119660848.0,0.01,72211085.0,33194390.0,-9.1686,23.0184,-18.898,27.2841,0.578585,0.166768,7.8549,71.803342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.047210300429185,0.12426666666666665,3.460057290859721e-05
VNT-AU,nan,Ventia Services Group Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials - 20,ASX,AUD,Australia,,Capital Goods - 2010,Capital Goods - 2010,Construction & Engineering - 201030,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,VNT.ASX,380.0,3242284360.0,ASX,4603891.0,0.070643833,,0.22191,5676400000.0,0.1772,2933600000.0,2363400000.0,-0.7322,9.848,8.8467,34.7905,0.737091,0.300654,3.3436,6.735607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.124059303321165,0.058397368421052635,6.664328305857593e-05
VSL-AU,nan,Vulcan Steel Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Materials - 15,ASX,AUD,Australia,,Materials - 1510,Materials - 1510,Metals & Mining - 151040,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,VSL.ASX,790.0,667097788.5,ASX,100756.0,0.014573631,,0.421711,1087689218.0,0.394804,843235762.3,686008018.7,-52.0462,2.0254,-24.1298,34.5621,1.273573,0.651863,5.0948,3.286613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.73320828719194,0.053381139240506324,0.0005024558528358863
VUK-AU,nan,Virgin Money Uk PLC,Growth,Australian Shares,Australian Shares,Australian Shares,Financials - 40,ASX,AUD,Australia,,Banks - 4010,Banks - 4010,Banks - 401010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,VUK.ASX,304.0,3538927536.0,ASX,2055093.0,0.034433278,,0.264069,2870724714.0,0.10023,174000000000.0,163000000000.0,-58.8865,0.0,-100.0,4.1181,1.052083,0.185769,12.6482,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.512142659683644,0.08686480263157895,2.7636363636363635e-06
VUL-AU,nan,Vulcan Energy Resources Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Materials - 15,ASX,AUD,Australia,,Materials - 1510,Materials - 1510,Metals & Mining - 151040,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,VUL.ASX,257.0,299366964.0,ASX,1263155.0,0.174477103,,-0.322345,34649338.09,0.0,497509315.9,38564693.61,-58.6653,164.563,359.7667,-11.3484,0.0,0.014473,-141.5925,-94.801261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.972824148040143,-0.12542607003891051,5.5998041488675656e-05
WAF-AU,nan,West African Resources Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Materials - 15,ASX,AUD,Australia,,Materials - 1510,Materials - 1510,Metals & Mining - 151040,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WAF.ASX,90.0,902979440.0,ASX,2350578.0,0.05034171,,0.140875,595579000.0,0.0,1001893000.0,171476000.0,-34.0834,-22.4197,-9.3757,21.5679,0.0,0.01967,24.183,102.100483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.388642413487134,0.15652777777777777,1.0837928414278609e-05
WBC-AU,nan,Westpac Banking Corporation,Growth,Australian Shares,Australian Shares,Australian Shares,Financials - 40,ASX,AUD,Australia,,Banks - 4010,Banks - 4010,Banks - 401010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WBC.ASX,2641.0,92464178950.0,ASX,5535813.0,0.04480541,,2.05454,20997000000.0,1.42,1030000000000.0,957000000000.0,26.361,36.1145,-10.0614,10.0679,0.62599,0.232531,34.2668,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.854458905643114,0.07779401741764483,3.617808219178082e-06
WBT-AU,nan,Weebit Nano Ltd,Growth,Australian Shares,Australian Shares,Australian Shares,Information Technology - 45,ASX,AUD,Australia,,Semiconductors & Semiconductor Equipment - 4530,Semiconductors & Semiconductor Equipment - 4530,Semiconductors & Semiconductor Equipment - 453010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WBT.ASX,421.0,815290700.0,ASX,831777.0,0.026217261,,-0.224061,153258.0,0.0,74727449.0,5003784.0,-47.6162,0.0,-56.3646,-77.5515,0.0,0.003039,-199.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.789526066562228,-0.05322114014251782,0.0006038122063721119
WDS-AU,nan,Woodside Energy Group Ltd,Growth,Australian Shares,Australian Shares,Australian Shares,Energy - 10,ASX,AUD,Australia,,Energy - 1010,Energy - 1010,"Oil, Gas & Consumable Fuels - 101020",,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WDS.ASX,3085.0,57646050000.0,ASX,3868955.0,0.062619468,,1.284061,20529198000.0,2.0538,81214587000.0,29620197000.0,-74.4536,-16.7865,-5.339,4.7636,2.562048,0.117375,11.8622,233.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.02533836009349,0.04162272285251215,5.979332249106928e-06
WEB-AU,nan,Webjet Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary - 25,ASX,AUD,Australia,,Consumer Services - 2530,Consumer Services - 2530,"Hotels, Restaurants & Leisure - 253010",,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WEB.ASX,700.0,2686434720.0,ASX,1316429.0,0.0052324,,0.147539,433100000.0,0.0,1818100000.0,913200000.0,428.409,67.6345,1540.5797,6.8156,0.0,0.133325,13.3456,5.677884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.44508231721782,0.021077000000000002,7.735661399049619e-05
WES-AU,nan,Wesfarmers Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary - 25,ASX,AUD,Australia,,Consumer Discretionary Distribution & Retail - 2550,Consumer Discretionary Distribution & Retail - 2550,Broadline Retail - 255030,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WES.ASX,6639.0,75569226880.0,ASX,1267872.0,0.060987203,,2.212803,43665000000.0,1.94,27291000000.0,18872000000.0,-0.6738,4.8681,5.7064,30.3518,0.864325,0.40724,5.7391,10.465564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.002670820674048,0.03333036601897876,7.885734647820406e-05
WGX-AU,nan,Westgold Resources Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Materials - 15,ASX,AUD,Australia,,Materials - 1510,Materials - 1510,Metals & Mining - 151040,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WGX.ASX,196.0,928301080.0,ASX,2349231.0,0.152735702,,0.137215,701436451.0,0.0,929708295.0,286494824.0,145.6677,7.4848,403.601,10.6466,0.0,0.037999,9.2574,162.417931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.284152607222241,0.07000765306122449,3.047199861894684e-05
WHC-AU,nan,Whitehaven Coal Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Energy - 10,ASX,AUD,Australia,,Energy - 1010,Energy - 1010,"Oil, Gas & Consumable Fuels - 101020",,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WHC.ASX,702.0,5789278920.0,ASX,7027950.0,0.03480537,,1.398073,3850051000.0,0.49,6620643000.0,1409772000.0,-66.298,-47.2306,-58.2908,22.2969,0.531784,0.021751,29.7052,148.328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.021197033345183,0.199155698005698,1.3471836090358023e-05
WOR-AU,nan,Worley Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials - 20,ASX,AUD,Australia,,Capital Goods - 2010,Capital Goods - 2010,Construction & Engineering - 201030,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WOR.ASX,1743.0,6168780961.0,ASX,1914868.0,0.037756757,,0.459739,12015000000.0,0.5,10332000000.0,4891000000.0,4133.3333,15.116,28.4403,4.6126,1.082644,0.205187,2.0141,4.881889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.912815749805866,0.026376305220883536,3.2034552471972066e-05
WOT-AU,nan,Wotso Property,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Equity Real Estate Investment Trusts (REITs) - 6010,Equity Real Estate Investment Trusts (REITs) - 6010,Diversified REITs - 601010,ListedREIT,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WOT.ASX,120.0,195448089.6,ASX,12892.0,0.0,,-0.038036,48523000.0,0.06,481862000.0,205251000.0,-126.9221,11.8168,-20.5128,-3.1888,-1.074568,0.395334,-17.9091,1.000407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.54905878641287,-0.03169666666666667,4.3382222688179426e-05
WOW-AU,nan,Woolworths Group Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Staples - 30,ASX,AUD,Australia,,Consumer Staples Distribution & Retail - 3010,Consumer Staples Distribution & Retail - 3010,Consumer Staples Distribution & Retail - 301010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WOW.ASX,3297.0,39848070080.0,ASX,2137323.0,0.034649403,,-0.006572,65760000000.0,1.05,33154000000.0,27923000000.0,-100.4662,5.8528,-33.3884,0.1206,-134.375,0.484617,-0.0121,1.927374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-199.0,-0.00019933272672126176,6.302810170139552e-05
WPR-AU,nan,Waypoint REIT,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Equity Real Estate Investment Trusts (REITs) - 6010,Equity Real Estate Investment Trusts (REITs) - 6010,Retail REITs - 601070,ListedREIT,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WPR.ASX,232.0,1578769950.0,ASX,2270154.0,0.021836616,,-0.117743,164300000.0,0.1648,2797900000.0,965300000.0,-159.118,-2.8537,-2.3432,-4.0973,-1.393173,0.319596,-48.1436,3.903797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.703931443907493,-0.05075129310344828,1.265960929826476e-05
WTC-AU,nan,WiseTech Global Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Information Technology - 45,ASX,AUD,Australia,,Software & Services - 4510,Software & Services - 4510,Software - 451030,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,WTC.ASX,9429.0,17320380660.0,ASX,453469.0,0.067525772,,0.672029,939000000.0,0.161,2767200000.0,746600000.0,-2.122,28.7359,1.255,12.7899,0.220867,0.082466,23.5782,26.630769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.30644510876763,0.0071272563368331735,0.0004666435712164704
XRO-AU,nan,Xero Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Information Technology - 45,ASX,AUD,Australia,,Software & Services - 4510,Software & Services - 4510,Software - 451030,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,XRO.ASX,13493.0,17933553704.0,ASX,783676.0,0.03307883,,-0.26769,1436108771.0,0.0,2468209870.0,1364067495.0,-124.19,23.9001,187.5247,-3.8227,0.0,0.454482,-2.8111,3.209591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-199.0,-0.001983917586896909,0.0012220344319273137
YAL-AU,nan,Yancoal Australia Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Energy - 10,ASX,AUD,Australia,,Energy - 1010,Energy - 1010,"Oil, Gas & Consumable Fuels - 101020",,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,YAL.ASX,616.0,8133906932.0,ASX,6160800.0,0.118289863,,1.377571,7804000000.0,0.695,11254000000.0,2812000000.0,-49.2749,-26.2609,-42.1999,22.0859,0.7768,0.012973,23.3085,130.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.471638848378777,0.22363165584415587,7.296849087893864e-06
ZIM-AU,nan,Zimplats Holdings Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Materials - 15,ASX,AUD,Australia,,Materials - 1510,Materials - 1510,Metals & Mining - 151040,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,ZIM.ASX,1600.0,1722202384.0,ASX,52354.0,0.000410637,,2.868073,1445840725.0,2.791765,3715320398.0,890277827.5,-41.8996,-22.5919,-10.1615,10.8856,1.070736,0.001941,21.3517,477.206677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5786585627353285,0.1792545625,5.66363146774393e-05
ZIP-AU,nan,ZIP Co Limited.,Growth,Australian Shares,Australian Shares,Australian Shares,Financials - 40,ASX,AUD,Australia,,Financial Services - 4020,Financial Services - 4020,Consumer Finance - 402020,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,1.0,ZIP.ASX,101.0,796570444.8,ASX,36134285.0,0.29243411,,-0.076226,789673000.0,0.0,3374174000.0,2955129000.0,94.5901,0.0,361.1627,-16.0716,0.0,0.766418,-7.7839,0.971155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.250072153858264,-0.07547128712871287,2.4102423367418774e-05
AVN-AU,nan,,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Real Estate Management & Development - 6020,Real Estate Management & Development - 6020,Real Estate Management & Development - 602010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,,nan,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCP-AU,nan,,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Real Estate Management & Development - 6020,Real Estate Management & Development - 6020,Real Estate Management & Development - 602010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,,nan,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKI-AU,nan,,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Real Estate Management & Development - 6020,Real Estate Management & Development - 6020,Real Estate Management & Development - 602010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,,nan,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYD-AU,nan,Sydney Airport,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Real Estate Management & Development - 6020,Real Estate Management & Development - 6020,Real Estate Management & Development - 602010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,,nan,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADI-AU,nan,,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Real Estate Management & Development - 6020,Real Estate Management & Development - 6020,Real Estate Management & Development - 602010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,,nan,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABP-AU,nan,,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Real Estate Management & Development - 6020,Real Estate Management & Development - 6020,Real Estate Management & Development - 602010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,,nan,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOT-AU,nan,360 Capital Group,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Real Estate Management & Development - 6020,Real Estate Management & Development - 6020,Real Estate Management & Development - 602010,,,,,,Australia Large Blend Equity,Australian Equities,ASXStock,,,,,,,,,nan,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEF.MAD,nan,TELEFONICA SA,Growth,International Shares,Global Shares,Global Shares,Communication Services - 50,Bolsa De Madrid,EUR,Spain,,Telecommunication Services - 5010,Diversified Telecommunication Services - 501010,Integrated Telecommunication Services - 50101020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,382.2,3.822,21553628818.0,MAD,10172223.0,0.0,,-0.327844,65918478212.0,0.486459,169000000000.0,125000000000.0,-144.356,1.6477,4.2312,-1.9522,-1.90695,0.44101,-2.1942,1.151396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11657983675162578,-2.0,8.686363636363637e-09
CLNX.MAD,nan,CELLNEX TELECOM SA,Growth,International Shares,Global Shares,Global Shares,Communication Services - 50,Bolsa De Madrid,EUR,Spain,,Telecommunication Services - 5010,Diversified Telecommunication Services - 501010,Integrated Telecommunication Services - 50101020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,3357,33.57,23679649435.0,MAD,1286069.0,0.0,,,6572065143.0,0.0,71939222815.0,47377892758.0,0.0195,24.7955,-80.7522,-2.0834,0.0,0.485653,-7.3279,0.563118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3667826588419028e-07
REP.MAD,nan,REPSOL SA,Growth,International Shares,Global Shares,Global Shares,Energy - 10,Bolsa De Madrid,EUR,Spain,,Energy - 1010,"Oil, Gas & Consumable Fuels - 101020",Integrated Oil & Gas - 10102010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,1469.5,14.695,17881131046.0,MAD,2828560.0,0.0,,3.987118,86132483658.0,1.459378,99939820123.0,52801913953.0,-25.4763,-23.3406,-12.6524,11.9324,0.309027,0.174013,5.964,10.222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03685619537721231,2.0,3.1174486085579135e-08
CABK.MAD,nan,CAIXABANK SA,Growth,International Shares,Global Shares,Global Shares,Financials - 40,Bolsa De Madrid,EUR,Spain,,Banks - 4010,Banks - 401010,Diversified Banks - 40101010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,425.4,4.254,31339754004.0,MAD,17970731.0,0.0,,0.985291,20948558989.0,0.635478,985000000000.0,926000000000.0,53.9149,-10.8735,-126.4352,13.7509,0.358803,0.10767,37.2784,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0431750619867633,2.0,7.210169491525423e-09
FER.MAD,nan,FERROVIAL SE,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,Bolsa De Madrid,EUR,Spain,,Capital Goods - 2010,Construction & Engineering - 201030,Construction & Engineering - 20103010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,3450,34.5,24988884336.0,MAD,978039.0,0.0,,1.013102,13805714934.0,0.0,42675452858.0,33142472109.0,148.6486,12.7532,-25.3099,10.0392,0.0,0.442244,5.4028,1.415417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34053826761767325,2.0,3.6190149658719294e-07
AENA.MAD,nan,AENA SME SA,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,Bolsa De Madrid,EUR,Spain,,Transportation - 2030,Transportation Infrastructure - 203050,Airport Services - 20305010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,17495,174.95,26242500000.0,MAD,175045.0,0.0,,17.629436,8197145674.0,12.420927,28467964702.0,16212250171.0,80.9002,20.481,29.2419,23.169,0.444103,0.489509,32.2601,9.686063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09923743448173838,2.0,1.4274973487467896e-06
