Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,RebateAtchison,RebateAtchisonCode,PeerGroup,OptimiserCategory,Type,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,Unnamed:30,Citicode,LastPrice,MarketCap,Exchange,MktVolume,ShortSell%,Date,BasicEPS,TotalRevenues,DividendperShare-Net,TotalAssets,TotalLiabilities,GrowthofNetIncome(%),GrowthofNetSales(%),GrowthofFreeCashFlow(%),ReturnonTotalEquity(%),PayoutRatio,TotalDebt/TotalAssets,NetProfitMargin(%),InterestCover(EBIT),Unnamed:51,Unnamed:52,YieldtoMaturity,IRDuration,CreditDuration,AvCreditRating,AAA_ModDur,AA_ModDur,A_ModDur,BBB_ModDur,BB_ModDur,B_ModDur,CCC_ModDur,NotRated_ModDur,CashEq_ModDur,Gov_ModDur,Corporates_ModDur,Securitised_ModDur,Other_ModDur,CashEq_ModDur.1,AAA_CredSprDur,AA_CredSprDur,A_CredSprDur,BBB_CredSprDur,BB_CredSprDur,B_CredSprDur,CCC_CredSprDur,NotRated_CredSprDur,CashEq_CredSprDur,Gov_CredSprDur,Corporates_CredSprDur,Securitised_CredSprDur,Other_CredSprDur,CashEq_CredSprDur.1,Unnamed:85,FE_Objective,FE_PerformanceFee,FE_PrimaryManager,FE_PrimaryManagerStartDate,FE_PrimaryManagerBiography,FE_Benchmark,FE_CrownRating,FE_FundSize,FE_HistoryStart,FE_PortfolioTurnoverRatio,FE_AverageMaturityDate,FE_LonsecRating,FE_MstarAnalystRating,FE_AnnualCharge,PE_Ratio,EarningsYield,PriceBook
CF.NYS,nan,CF INDUSTRIES HOLDINGS INC,Growth,International Shares,Global Shares,Global Shares,Materials - 15,New York Stock Exchange Inc.,USD,United States,,Materials - 1510,Chemicals - 151010,Fertilizers & Agricultural Chemicals - 15101030,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,8250,82.5,15537876420.0,NYS,2005573.0,0.0,,11.57359,9727677000.0,2.3472,21089592000.0,8806401000.0,-54.4231,-40.7205,-51.6646,22.6549,0.203934,0.224819,22.998,15.086666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07128298133941154,2.0,6.716495737956041e-07
HUBB.NYS,nan,HUBBELL INC,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,New York Stock Exchange Inc.,USD,United States,,Capital Goods - 2010,Electrical Equipment - 201040,Electrical Components & Equipment - 20104010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,38477,384.77,20634043860.0,NYS,230198.0,0.0,,20.746007,7882044300.0,6.71886,10142838000.0,5904234900.0,39.183,8.5895,41.454,29.126,0.323111,0.331212,14.1413,28.444141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1854670154116886,2.0,9.077754885801881e-06
DGX.NYS,nan,QUEST DIAGNOSTICS INC,Growth,International Shares,Global Shares,Global Shares,Health Care - 35,New York Stock Exchange Inc.,USD,United States,,Health Care Equipment & Services - 3510,Health Care Providers & Services - 351020,Health Care Services - 35102015,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,12468,124.68,13802985291.0,NYS,673584.0,0.0,,11.133481,13572684000.0,4.16628,20570274000.0,11155068000.0,-9.7251,-6.3847,-11.5452,14.6156,0.367681,0.392098,9.2304,8.184049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11198653862165842,2.0,1.324240807901601e-06
IEX.NYS,nan,IDEX CORP,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,New York Stock Exchange Inc.,USD,United States,,Capital Goods - 2010,Machinery - 201060,Industrial Machinery & Supplies & Components - 20106020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,23947,239.47,18114625293.0,NYS,198956.0,0.0,,11.567178,4802811300.0,3.75552,8604248400.0,3409308000.0,1.5675,2.8913,-2.2036,18.1011,0.319912,0.246504,18.2076,14.58027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2070254300573571,2.0,4.609677523923085e-06
RF.NYS,nan,REGIONS FINANCIAL CORP,Growth,International Shares,Global Shares,Global Shares,Financials - 40,New York Stock Exchange Inc.,USD,United States,,Banks - 4010,Banks - 401010,Regional Banks - 40101015,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,1859,18.59,17081682652.0,NYS,6290920.0,0.0,,3.097,10299807000.0,1.29096,223000000000.0,198000000000.0,-7.6169,-5.2144,15.5309,12.4028,0.426711,0.036506,29.5399,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060025831449790124,2.0,7.436e-08
ALB.NYS,nan,ALBEMARLE CORP,Growth,International Shares,Global Shares,Global Shares,Materials - 15,New York Stock Exchange Inc.,USD,United States,,Materials - 1510,Chemicals - 151010,Specialty Chemicals - 15101050,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,14280,142.8,16765141117.0,NYS,2124655.0,0.0,,19.675658,14108436801.0,2.3472,26803046484.0,12624346251.0,-41.5024,31.3806,-36.4076,18.7113,0.118964,0.235953,16.361,4.024424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07257698827658014,2.0,1.0071445030457894e-06
AVY.NYS,nan,AVERY DENNISON CORP,Growth,International Shares,Global Shares,Global Shares,Materials - 15,New York Stock Exchange Inc.,USD,United States,,Materials - 1510,Containers & Packaging - 151030,Paper & Plastic Packaging Products & Materials - 15103020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,21672,216.72,17447837445.0,NYS,136645.0,0.0,,9.143754,12270428100.0,4.66506,12043776600.0,8922147300.0,-33.5622,-7.4673,-4.8572,24.1821,0.510337,0.419255,6.0136,8.368907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23701425038337645,2.0,6.9425283777289e-06
EPAM.NYS,nan,EPAM SYSTEMS INC,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,New York Stock Exchange Inc.,USD,United States,,Software & Services - 4510,IT Services - 451020,IT Consulting & Other Services - 45102010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,30683,306.83,17743211211.0,NYS,157186.0,0.0,,10.580517,6881022180.0,0.0,6384919455.0,1292272965.0,-0.5562,-2.7806,-30.149,12.8839,0.0,0.039506,8.892,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28999528094893656,2.0,6.024961689418187e-06
SNA.NYS,nan,SNAP ON INC,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,New York Stock Exchange Inc.,USD,United States,,Capital Goods - 2010,Machinery - 201060,Industrial Machinery & Supplies & Components - 20106020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,27730,277.3,14617465197.0,NYS,113927.0,0.0,,28.039389,7493876100.0,9.85824,11068368300.0,3596350500.0,10.9027,5.284,8.5741,21.5611,0.351696,0.169823,19.7932,27.018036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09889659150561377,2.0,3.7111795959586714e-06
LDOS.NYS,nan,LEIDOS HOLDINGS INC,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,New York Stock Exchange Inc.,USD,United States,,Commercial & Professional Services - 2020,Professional Services - 202020,Research & Consulting Services - 20202020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,12744,127.44,17303714119.0,NYS,512464.0,0.0,,2.130897,22647546000.0,2.14182,18623565000.0,12377079000.0,-70.9489,7.2381,22.9186,4.831,1.01005,0.420165,1.289,6.141509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5980580009263704,1.672078625235405,2.040187074780925e-06
PKG.NYS,nan,PACKAGING CORP OF AMERICA,Growth,International Shares,Global Shares,Global Shares,Materials - 15,New York Stock Exchange Inc.,USD,United States,,Materials - 1510,Containers & Packaging - 151030,Paper & Plastic Packaging Products & Materials - 15103020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,18019,180.19,16028360345.0,NYS,261330.0,0.0,,12.496666,11446120800.0,7.335,12735173700.0,6871134600.0,-25.6943,-7.9688,-32.1833,19.9676,0.586644,0.365529,9.8072,21.084427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14419045847908554,2.0,3.0727967008269095e-06
LUV.NYS,nan,SOUTHWEST AIRLINES,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,New York Stock Exchange Inc.,USD,United States,,Transportation - 2030,Passenger Airlines - 203020,Passenger Airlines - 20302010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,3396,33.96,20262727201.0,NYS,5130122.0,0.0,,1.146478,38275497000.0,1.05624,53526429000.0,38100924000.0,-13.7291,10.3173,-11.8097,4.3863,0.92043,0.252144,1.7822,3.724576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2962115278269622,2.0,2.2015486689090567e-07
MAA.NYS,nan,MID AMERICA APARTMENT COMMUNITIES,Growth,International Shares,Global Shares,Global Shares,Real Estate - 60,New York Stock Exchange Inc.,USD,United States,,Equity Real Estate Investment Trusts (REITs) - 6010,Residential REITs - 601060,Multi-Family Residential REITs  - 60106010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,12763,127.63,14896416240.0,NYS,505233.0,0.0,,6.910578,3151802556.0,8.2152,16847765901.0,7635071916.0,-13.2766,6.3668,7.7268,9.1073,1.185596,0.397715,25.7302,4.616253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18468787994289335,2.0,1.3853711000040343e-06
WRB.NYS,nan,WR BERKLEY CORP,Growth,International Shares,Global Shares,Global Shares,Financials - 40,New York Stock Exchange Inc.,USD,United States,,Insurance - 4030,Insurance - 403010,Property & Casualty Insurance - 40301040,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,8269,82.69,21214009440.0,NYS,583674.0,0.0,,7.477688,17813690046.0,0.63081,54575356005.0,43617985326.0,0.0215,10.4963,5.214,19.4395,0.159074,0.082127,11.3758,15.013933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1105823083284566,2.0,7.546518450678766e-07
